analysis_neigh,incident_count
Tenderloin,11412
Mission,9713
South of Market,7723
Bayview Hunters Point,6365
Financial District/South Beach,6027
Western Addition,3270
Sunset/Parkside,3046
North Beach,3014
Nob Hill,2742
Hayes Valley,2540
Marina,2412
Castro/Upper Market,2258
Russian Hill,2189
West of Twin Peaks,2152
Bernal Heights,2013
Outer Richmond,1979
Excelsior,1784
Chinatown,1752
Pacific Heights,1714
Outer Mission,1492
Lakeshore,1393
Mission Bay,1363
Potrero Hill,1357
Haight Ashbury,1326
Inner Sunset,1310
Lone Mountain/USF,1231
Noe Valley,1225
Portola,1158
Inner Richmond,1151
Visitacion Valley,1029
Oceanview/Merced/Ingleside,1022
Golden Gate Park,1018
Japantown,835
Presidio Heights,714
Glen Park,565
Twin Peaks,403
Treasure Island,330
Lincoln Park,192
Presidio,159
McLaren Park,141
Seacliff,108
